Evnt_Time,Evnt_ID,Evnt_Name,Item_Name,Alias_Name,Group_ID,Num_Args,Arg1_Name,Arg1_Value,Arg2_Name,Arg2_Value,Arg3_Name,Arg3_Value,Arg4_Name,Arg4_Value,Arg5_Name,Arg5_Value
0,16,Variable Event,aaaCorrect_Counter,,0,1,Value,0,,,,,,,,
0,16,Variable Event,aaaIncorrect_CounterA,,0,1,Value,0,,,,,,,,
0,16,Variable Event,aaaIncorrect_CounterB_Old,,0,1,Value,0,,,,,,,,
0,16,Variable Event,aabCorrection_Correct_Counter,,0,1,Value,0,,,,,,,,
0,16,Variable Event,aabCorrection_IncorrectA_Counter,,0,1,Value,0,,,,,,,,
0,16,Variable Event,aabCorrection_IncorrectB_Counter,,0,1,Value,0,,,,,,,,
6.784,16,Variable Event,aaaIncorrect_CounterB_Old,,11,1,Value,1,,,,,,,,
37.099,16,Variable Event,aabCorrection_Correct_Counter,,8,1,Value,1,,,,,,,,
61.54,16,Variable Event,aaaCorrect_Counter,,8,1,Value,1,,,,,,,,
86.731,16,Variable Event,aaaCorrect_Counter,,8,1,Value,2,,,,,,,,
112.805,16,Variable Event,aaaIncorrect_CounterA,,11,1,Value,1,,,,,,,,
140.593,16,Variable Event,aabCorrection_Correct_Counter,,8,1,Value,2,,,,,,,,
165.623,16,Variable Event,aaaCorrect_Counter,,8,1,Value,3,,,,,,,,
187.971,16,Variable Event,aaaCorrect_Counter,,8,1,Value,4,,,,,,,,
213.778,16,Variable Event,aaaCorrect_Counter,,8,1,Value,5,,,,,,,,
246.132,16,Variable Event,aaaCorrect_Counter,,8,1,Value,6,,,,,,,,
276.383,16,Variable Event,aaaCorrect_Counter,,8,1,Value,7,,,,,,,,
299.788,16,Variable Event,aaaCorrect_Counter,,8,1,Value,8,,,,,,,,
324.571,16,Variable Event,aaaCorrect_Counter,,8,1,Value,9,,,,,,,,
349,16,Variable Event,aaaIncorrect_CounterB_Old,,11,1,Value,2,,,,,,,,
376.53,16,Variable Event,aabCorrection_Correct_Counter,,8,1,Value,3,,,,,,,,
399.685,16,Variable Event,aaaCorrect_Counter,,8,1,Value,10,,,,,,,,
423.765,16,Variable Event,aaaCorrect_Counter,,8,1,Value,11,,,,,,,,
449.005,16,Variable Event,aaaCorrect_Counter,,8,1,Value,12,,,,,,,,
473.789,16,Variable Event,aaaCorrect_Counter,,8,1,Value,13,,,,,,,,
497.619,16,Variable Event,aaaCorrect_Counter,,8,1,Value,14,,,,,,,,
521.854,16,Variable Event,aaaCorrect_Counter,,8,1,Value,15,,,,,,,,
544.788,16,Variable Event,aaaCorrect_Counter,,8,1,Value,16,,,,,,,,
569.384,16,Variable Event,aaaIncorrect_CounterA,,11,1,Value,2,,,,,,,,
603.429,16,Variable Event,aabCorrection_IncorrectA_Counter,,11,1,Value,1,,,,,,,,
631.723,16,Variable Event,aabCorrection_IncorrectA_Counter,,11,1,Value,2,,,,,,,,
659.685,16,Variable Event,aabCorrection_Correct_Counter,,8,1,Value,4,,,,,,,,
686.388,16,Variable Event,aaaCorrect_Counter,,8,1,Value,17,,,,,,,,
711.623,16,Variable Event,aaaCorrect_Counter,,8,1,Value,18,,,,,,,,
736.213,16,Variable Event,aaaCorrect_Counter,,8,1,Value,19,,,,,,,,
760.81,16,Variable Event,aaaCorrect_Counter,,8,1,Value,20,,,,,,,,
785.502,16,Variable Event,aaaCorrect_Counter,,8,1,Value,21,,,,,,,,
808.892,16,Variable Event,aaaIncorrect_CounterB_Old,,11,1,Value,3,,,,,,,,
836.852,16,Variable Event,aabCorrection_Correct_Counter,,8,1,Value,5,,,,,,,,
863.74,16,Variable Event,aaaCorrect_Counter,,8,1,Value,22,,,,,,,,
888.133,16,Variable Event,aaaCorrect_Counter,,8,1,Value,23,,,,,,,,
911.732,16,Variable Event,aaaCorrect_Counter,,8,1,Value,24,,,,,,,,
935.336,16,Variable Event,aaaCorrect_Counter,,8,1,Value,25,,,,,,,,
959.273,16,Variable Event,aaaCorrect_Counter,,8,1,Value,26,,,,,,,,
982.302,16,Variable Event,aaaCorrect_Counter,,8,1,Value,27,,,,,,,,
1007.071,16,Variable Event,aaaIncorrect_CounterB_Old,,11,1,Value,4,,,,,,,,
1034.862,16,Variable Event,aabCorrection_IncorrectB_Counter,,11,1,Value,1,,,,,,,,
1072.368,16,Variable Event,aabCorrection_IncorrectA_Counter,,11,1,Value,3,,,,,,,,
1106.423,16,Variable Event,aabCorrection_IncorrectB_Counter,,11,1,Value,2,,,,,,,,
1136.71,16,Variable Event,aabCorrection_Correct_Counter,,8,1,Value,6,,,,,,,,
1162.164,16,Variable Event,aaaCorrect_Counter,,8,1,Value,28,,,,,,,,
1186.951,16,Variable Event,aaaCorrect_Counter,,8,1,Value,29,,,,,,,,
1211.2,16,Variable Event,aaaCorrect_Counter,,8,1,Value,30,,,,,,,,
